"id","depth","fat","water","protein"
202,0.505557052814606,14.3,66.8,17.4
37,0.505315800912845,29.7,56,14.4
116,0.505315800912845,29.7,56,14.4
95,0.504516844164312,16.4,65.6,18
164,0.504038252553792,23.4,60.3,16.3
148,0.50324972831993,6,73.1,19.6
30,0.503238426429037,16.3,66.2,17.5
91,0.502900673766573,15.4,66.7,17.2
21,0.502308628559009,7.9,72.45,19.7
149,0.502296891980005,6.4,72.4,20.6
93,0.501737448380787,15.7,65.6,18.4
4,0.501495761790915,5.9,72.8,20.7
100,0.50145316235601,18.2,63.6,17.2
36,0.501181916974571,27.8,53.5,13.2
110,0.501181916974571,27.8,53.5,13.2
98,0.500270376005216,17.4,63.3,19.2
209,0.500246902847208,28.4,54.4,14.4
208,0.500095631384481,27.2,56.6,15.7
82,0.499803520973701,10.9,69.4,19.1
179,0.499411866985438,8.6,71.5,19.4
126,0.499281460552054,37.8,48.6,13.8
124,0.498944577265812,36.2,50.6,13.4
20,0.497122364703325,7.8,71.8,20.2
63,0.496851554009998,6.7,71.5,21.5
83,0.496679852206042,10.9,69.5,19.2
104,0.496432514670724,21.5,60.3,17.6
113,0.496013040643338,28.8,53.6,18.2
96,0.495974353401434,16.4,65,17.4
76,0.495888285155401,9.6,69.5,20.1
214,0.495734840252119,42.5,44.9,12
46,0.493708324277331,8.2,72.5,19.3
143,0.49235992175614,46.5,41.2,11.1
131,0.491684416431211,5.9,72.8,20.7
108,0.49076070419474,26.1,57.9,15.3
170,0.490698109106716,35.2,49.5,15.2
128,0.489067159313193,45,42.1,11.8
32,0.488083025429254,20.9,60.5,17.2
66,0.487706150836775,7,69.1,20.5
25,0.487085850901978,12.5,65.5,17
161,0.48591175831341,16.5,66.2,17.2
112,0.484586394262117,28.7,54.9,14.3
75,0.481211475766138,8.5,70.3,21
136,0.481211475766138,8.5,70.3,21
105,0.480736361660509,23,58,18.7
2,0.480436426863726,40.1,46,13.5
173,0.479841338839383,47.7,40.7,11.8
18,0.479179308845904,6.3,74.1,19.2
174,0.47886589871767,25.5,58.3,15.5
1,0.477416213866551,22.5,60.5,16.7
129,0.477188002608129,45.7,42.2,11
72,0.476306020430341,7.7,70.8,20.8
5,0.475475331449685,25.5,58.3,15.5
31,0.471777004998914,18.6,67.1,11.6
146,0.470587263638339,4.7,73.9,21.1
19,0.47041773527494,7.2,67.3,20.1
201,0.467376657248424,12.5,68.1,18.6
151,0.466711149750054,7.1,73.4,18.8
212,0.465761356226907,33.8,51.6,13.8
177,0.464697239730493,4.7,70.7,20.5
69,0.464461638774179,7.2,72.1,20.5
206,0.463522277765703,19.4,62.5,17.9
13,0.463192784177352,2.9,72.7,21.7
188,0.463192784177352,2.9,72.7,21.7
90,0.462592045207563,14,67.3,18.6
61,0.45903542708107,6.6,72.5,20.4
62,0.45903542708107,6.6,72.5,20.4
45,0.458732884155618,49.1,39.3,13.1
213,0.458514670723756,35.5,50.3,13.2
60,0.458073896978918,6.4,72.7,20.4
78,0.45554488154749,9.7,70.5,19.2
42,0.449865681373615,43.8,42.2,13.3
97,0.449723973049337,17.2,64.6,19.4
191,0.445092371223646,6.2,73.6,19.3
130,0.443300152140839,29.8,54.1,15.7
47,0.442873288415562,11,70.3,19.3
175,0.442330797652685,10.6,69.3,19.3
120,0.441467941751793,32.2,52.9,14.1
17,0.440438600304282,5.6,73.5,20
